Date,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
01/31/1971,120756.00,62730.00,729645.00,607025.00,51.50,28899836.00,5508.00
02/28/1971,84716.00,46395.00,674978.00,559445.00,51.93,27227068.00,5154.00
03/31/1971,86404.00,39094.00,726347.00,676935.00,51.80,32928402.00,7039.00
04/30/1971,78863.00,28709.00,595260.00,519427.00,51.33,25074116.00,6473.00
05/31/1971,76847.00,25066.00,493680.00,429078.00,50.88,20426902.00,6249.00
06/30/1971,85225.00,31206.00,565159.00,488317.00,50.90,23254106.00,7712.00
07/31/1971,113864.00,32030.00,542718.00,452721.00,50.00,21504954.00,6962.00
08/31/1971,110672.00,42607.00,571824.00,465209.00,50.48,22172254.00,7761.00
09/30/1971,80308.00,32211.00,517355.00,451466.00,51.47,21789418.00,7238.00
10/31/1971,97982.00,29871.00,506843.00,423084.00,53.01,20926002.00,6196.00
11/30/1971,112091.00,36652.00,594046.00,502055.00,57.17,27102454.00,6579.00
12/31/1971,145306.00,46485.00,760356.00,651951.00,58.92,36059164.00,7549.00
01/31/1972,133467.00,62066.00,788207.00,666335.00,60.35,37830988.00,6488.00
02/29/1972,93295.00,49685.00,752175.00,677630.00,63.89,40928824.00,6353.00
03/31/1972,79275.00,39442.00,784974.00,728312.00,66.00,45616332.00,7238.00
04/30/1972,68588.00,26636.00,609520.00,588421.00,66.36,36932164.00,5491.00
05/31/1972,77586.00,27701.00,610297.00,560892.00,66.16,34767348.00,8974.00
06/30/1972,100218.00,24232.00,526718.00,488940.00,65.97,29953270.00,7591.00
07/31/1972,139329.00,69913.00,697102.00,598640.00,64.17,36287820.00,7527.00
08/31/1972,71877.00,37973.00,590383.00,544522.00,63.62,32644744.00,10014.00
09/30/1972,62480.00,20499.00,450398.00,415774.00,64.89,25221688.00,7190.00
10/31/1972,73375.00,22125.00,460694.00,399353.00,65.82,24314190.00,6235.00
11/30/1972,80016.00,23495.00,479301.00,406905.00,66.71,25214764.00,6450.00
12/31/1972,104650.00,29025.00,524228.00,440518.00,68.02,27757186.00,6118.00
01/31/1973,121367.00,52598.00,733786.00,621215.00,68.43,39414644.00,7619.00
02/28/1973,71260.00,39492.00,601702.00,534241.00,70.38,35189624.00,6083.00
03/31/1973,68264.00,34554.00,614712.00,577406.00,71.13,38574652.00,5816.00
04/30/1973,66440.00,24867.00,515408.00,473338.00,70.85,31502240.00,4773.00
05/31/1973,68030.00,23611.00,505847.00,434467.00,70.53,28461424.00,5567.00
06/30/1973,61495.00,22350.00,430930.00,395880.00,69.49,25554378.00,4878.00
07/31/1973,89762.00,28973.00,468770.00,387460.00,66.93,24489622.00,4891.00
08/31/1973,64265.00,30797.00,478786.00,401513.00,66.75,25096830.00,6798.00
09/30/1973,55379.00,20365.00,383291.00,335784.00,67.57,20733856.00,4863.00
10/31/1973,72472.00,23260.00,430273.00,367591.00,68.60,22709684.00,5078.00
11/30/1973,83444.00,23847.00,445127.00,364535.00,69.41,22967782.00,5213.00
12/31/1973,135890.00,33749.00,556568.00,427479.00,69.97,27219740.00,4853.00
01/31/1974,135097.00,74048.00,840292.00,714603.00,71.63,46760588.00,6163.00
02/28/1974,116907.00,56998.00,729545.00,639915.00,73.35,43574708.00,5472.00
03/31/1974,76982.00,46453.00,706315.00,677130.00,73.41,46248576.00,5156.00
04/30/1974,81498.00,30474.00,673046.00,611803.00,73.19,41648056.00,5532.00
05/31/1974,80490.00,27643.00,612715.00,544649.00,72.73,36604544.00,6213.00
